Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-06-29,3.8,5.0,3.51,4.78,93831500,0,0.0
2010-06-30,5.16,6.08,4.66,4.77,85935500,0,0.0
2010-07-01,5.0,5.18,4.05,4.39,41094000,0,0.0
2010-07-02,4.6,4.62,3.74,3.84,25699000,0,0.0
2010-07-06,4.0,4.0,3.17,3.22,34334500,0,0.0
2010-07-07,3.28,3.33,3.0,3.16,34608500,0,0.0
2010-07-08,3.23,3.5,3.11,3.49,38557000,0,0.0
2010-07-09,3.52,3.58,3.31,3.48,20253000,0,0.0
2010-07-12,3.59,3.61,3.4,3.41,11012500,0,0.0
2010-07-13,3.48,3.73,3.38,3.63,13400500,0,0.0
2010-07-14,3.59,4.03,3.55,3.97,20976000,0,0.0
2010-07-15,3.99,4.3,3.8,3.98,18699000,0,0.0
2010-07-16,4.14,4.26,4.01,4.13,13106500,0,0.0
2010-07-19,4.27,4.45,4.18,4.38,12432500,0,0.0
2010-07-20,4.37,4.37,4.01,4.06,9126500,0,0.0
2010-07-21,4.13,4.18,3.9,4.04,6262500,0,0.0
2010-07-22,4.1,4.25,4.07,4.2,4789000,0,0.0
2010-07-23,4.24,4.31,4.21,4.26,3268000,0,0.0
2010-07-26,4.3,4.3,4.06,4.19,4611000,0,0.0
2010-07-27,4.18,4.24,4.05,4.11,3098500,0,0.0
2010-07-28,4.11,4.18,4.1,4.14,2336000,0,0.0
2010-07-29,4.15,4.18,4.0,4.07,3080000,0,0.0
2010-07-30,4.04,4.09,3.91,3.99,2134500,0,0.0
2010-08-02,4.1,4.19,4.07,4.18,3590500,0,0.0
2010-08-03,4.2,4.39,4.16,4.39,6152500,0,0.0
2010-08-04,4.39,4.44,4.17,4.25,4565000,0,0.0
2010-08-05,4.31,4.31,4.01,4.09,3981000,0,0.0
2010-08-06,4.02,4.03,3.9,3.92,3709500,0,0.0
2010-08-09,3.98,4.0,3.89,3.92,4063500,0,0.0
2010-08-10,3.93,3.93,3.76,3.81,6406500,0,0.0
2010-08-11,3.74,3.78,3.57,3.58,3988000,0,0.0
2010-08-12,3.56,3.58,3.48,3.52,3455000,0,0.0
2010-08-13,3.64,3.69,3.53,3.66,3170000,0,0.0
2010-08-16,3.69,3.76,3.65,3.76,2429000,0,0.0
2010-08-17,3.79,3.88,3.76,3.83,2239500,0,0.0
2010-08-18,3.92,3.92,3.72,3.75,3006500,0,0.0
2010-08-19,3.71,3.85,3.67,3.76,2895500,0,0.0
2010-08-20,3.73,3.82,3.7,3.82,1480000,0,0.0
2010-08-23,3.82,4.08,3.8,4.03,5440500,0,0.0
2010-08-24,3.85,3.94,3.79,3.84,3365500,0,0.0
2010-08-25,3.83,4.0,3.71,3.98,2516500,0,0.0
2010-08-26,3.98,4.05,3.92,3.95,2169000,0,0.0
2010-08-27,3.95,3.97,3.9,3.94,1898000,0,0.0
2010-08-30,3.94,4.04,3.92,3.97,3664000,0,0.0
2010-08-31,3.93,3.96,3.87,3.9,1005500,0,0.0
2010-09-01,3.92,4.14,3.92,4.09,2474500,0,0.0
2010-09-02,4.07,4.25,4.06,4.21,2435500,0,0.0
2010-09-03,4.17,4.26,4.13,4.21,2173000,0,0.0
2010-09-07,4.12,4.2,4.1,4.11,1217000,0,0.0
2010-09-08,4.13,4.19,4.12,4.18,1442000,0,0.0
2010-09-09,4.2,4.21,4.14,4.14,1881000,0,0.0
2010-09-10,4.15,4.19,3.95,4.03,1933000,0,0.0
2010-09-13,4.18,4.18,4.1,4.14,1804000,0,0.0
2010-09-14,4.11,4.32,4.11,4.22,3273500,0,0.0
2010-09-15,4.2,4.4,4.16,4.4,3423000,0,0.0
2010-09-16,4.43,4.63,4.17,4.19,13422500,0,0.0
2010-09-17,4.2,4.26,3.96,4.05,5992500,0,0.0
2010-09-20,4.13,4.27,4.03,4.21,4737500,0,0.0
2010-09-21,4.18,4.31,4.13,4.15,3980000,0,0.0
2010-09-22,4.17,4.19,3.96,3.97,4814500,0,0.0
2010-09-23,3.98,4.03,3.9,3.91,3340500,0,0.0
2010-09-24,3.99,4.04,3.93,4.02,2894500,0,0.0
2010-09-27,4.08,4.16,4.01,4.11,2093000,0,0.0
2010-09-28,4.21,4.3,4.15,4.28,6072500,0,0.0
2010-09-29,4.24,4.41,4.23,4.4,9846500,0,0.0
2010-09-30,4.4,4.43,4.04,4.08,10979000,0,0.0
2010-10-01,4.14,4.15,4.06,4.12,2988500,0,0.0
2010-10-04,4.09,4.23,4.06,4.2,3218000,0,0.0
2010-10-05,4.23,4.26,4.2,4.22,1660000,0,0.0
2010-10-06,4.21,4.25,4.06,4.09,1567000,0,0.0
2010-10-07,4.11,4.13,4.07,4.09,705000,0,0.0
2010-10-08,4.09,4.16,4.08,4.09,1339000,0,0.0
2010-10-11,4.09,4.14,4.01,4.05,856000,0,0.0
2010-10-12,4.04,4.06,4.01,4.05,1220000,0,0.0
2010-10-13,4.13,4.17,4.07,4.11,1591000,0,0.0
2010-10-14,4.2,4.21,4.08,4.15,1474000,0,0.0
2010-10-15,4.18,4.18,4.05,4.11,1423500,0,0.0
2010-10-18,4.1,4.13,4.04,4.05,814000,0,0.0
2010-10-19,4.04,4.08,4.0,4.01,1226000,0,0.0
2010-10-20,4.03,4.14,4.01,4.13,1562500,0,0.0
2010-10-21,4.12,4.19,4.09,4.15,2085500,0,0.0
2010-10-22,4.14,4.19,4.11,4.14,805500,0,0.0
2010-10-25,4.19,4.2,4.15,4.17,592500,0,0.0
2010-10-26,4.16,4.37,4.1,4.27,3304500,0,0.0
2010-10-27,4.25,4.28,4.13,4.2,1782500,0,0.0
2010-10-28,4.28,4.3,4.19,4.24,1121000,0,0.0
2010-10-29,4.23,4.37,4.21,4.37,1403000,0,0.0
2010-11-01,4.39,4.55,4.26,4.28,2279000,0,0.0
2010-11-02,4.34,4.38,4.21,4.25,1612500,0,0.0
2010-11-03,4.26,4.5,4.23,4.35,1863000,0,0.0
2010-11-04,4.52,5.07,4.43,4.98,9370000,0,0.0
2010-11-05,4.97,4.99,4.74,4.89,5055000,0,0.0
2010-11-08,4.9,5.0,4.81,5.0,2547500,0,0.0
2010-11-09,5.0,5.14,4.81,4.93,4782000,0,0.0
2010-11-10,4.9,5.99,4.81,5.87,15302500,0,0.0
2010-11-11,5.72,5.82,5.47,5.61,9726500,0,0.0
2010-11-12,5.65,6.1,5.61,5.97,13645500,0,0.0
2010-11-15,6.04,6.59,6.04,6.16,13114500,0,0.0
2010-11-16,6.2,6.28,5.68,5.93,6738000,0,0.0
2010-11-17,6.04,6.15,5.72,5.9,3750000,0,0.0
2010-11-18,6.13,6.15,5.78,5.98,4780500,0,0.0
2010-11-19,6.03,6.27,5.94,6.2,5752500,0,0.0
2010-11-22,6.31,6.69,6.3,6.68,7648500,0,0.0
2010-11-23,6.66,7.14,6.44,6.91,7889000,0,0.0
2010-11-24,7.05,7.19,6.87,7.09,7125000,0,0.0
2010-11-26,7.12,7.2,6.95,7.06,1753000,0,0.0
2010-11-29,7.08,7.19,6.67,6.87,5728000,0,0.0
2010-11-30,6.75,7.07,6.68,7.07,11113000,0,0.0
2010-12-01,7.17,7.28,6.69,6.87,6496000,0,0.0
2010-12-02,6.8,6.86,6.24,6.47,10035000,0,0.0
2010-12-03,6.4,6.45,6.17,6.3,5800500,0,0.0
2010-12-06,6.27,6.29,5.91,6.06,6372000,0,0.0
2010-12-07,6.1,6.48,6.01,6.31,6556500,0,0.0
2010-12-08,6.5,6.5,6.3,6.47,3300000,0,0.0
2010-12-09,6.5,6.54,6.33,6.41,2030000,0,0.0
2010-12-10,6.41,6.58,6.23,6.3,2147000,0,0.0
2010-12-13,6.33,6.35,6.08,6.11,2052000,0,0.0
2010-12-14,6.06,6.08,5.55,5.71,8828500,0,0.0
2010-12-15,5.73,5.99,5.71,5.92,3714500,0,0.0
2010-12-16,6.0,6.18,5.93,6.16,3950500,0,0.0
2010-12-17,6.27,6.31,6.14,6.27,4065000,0,0.0
2010-12-20,6.33,6.44,6.25,6.34,2617000,0,0.0
2010-12-21,6.36,6.54,6.34,6.45,3888500,0,0.0
2010-12-22,6.45,6.57,6.34,6.53,4166500,0,0.0
2010-12-23,6.25,6.5,5.98,6.02,7763000,0,0.0
2010-12-27,5.6,5.72,5.01,5.11,46509500,0,0.0
2010-12-28,5.17,5.35,5.0,5.28,20281500,0,0.0
2010-12-29,5.41,5.6,5.3,5.55,16596000,0,0.0
2010-12-30,5.54,5.58,5.28,5.3,10205500,0,0.0
2010-12-31,5.31,5.45,5.3,5.33,7089500,0,0.0
2011-01-03,5.37,5.4,5.18,5.32,6415000,0,0.0
2011-01-04,5.33,5.39,5.2,5.33,5937000,0,0.0
2011-01-05,5.3,5.38,5.24,5.37,7233500,0,0.0
2011-01-06,5.37,5.6,5.36,5.58,10306000,0,0.0
